Symbol,Date,Open,High,Low,Close,Volume,FBIO SMA,FBIO spanTwelveEMA,FBIO spanTwntySixEMA,FBIO_x,FBIO_y
FBIO,2020-10-22,2.6,2.65,2.5401,2.63,144249,2.63,3.0639436738632315,3.45131367058991,-0.3873699967266786,-0.2556767860608159
FBIO,2020-10-21,2.63,2.65,2.5801,2.6235,95476,2.6235,3.1428425236565465,3.5170187642371027,-0.3741762405805567,-0.2227534833943502
FBIO,2020-10-20,2.62,2.6822,2.55,2.6122,153275,2.6122,3.2372684370486464,3.588500265376072,-0.3512318283274256,-0.1848977940977987
FBIO,2020-10-19,2.8,2.8129,2.7,2.705,211159,2.705,3.3509172437847634,3.666604286606157,-0.3156870428213936,-0.14331428554039194
FBIO,2020-10-16,2.74,2.81,2.7249,2.735,168967,2.7349999999999994,3.4683567426547204,3.74353262953465,-0.27517588687992944,-0.10022109622014153
FBIO,2020-10-15,2.8,2.81,2.66,2.71,353116,2.7099999999999995,3.601694332228306,3.8242152398974216,-0.2225209076691161,-0.056482398555194546
FBIO,2020-10-14,3.06,3.07,2.96,3.02,147661,3.02,3.7638205744516338,3.913352459089216,-0.1495318846375815,-0.01497277127671425
FBIO,2020-10-13,3.1,3.11,2.85,2.9736,759925,2.973599999999999,3.8990606788973863,3.984820655816353,-0.08575997691896697,0.018667007063502786
FBIO,2020-10-12,3.0,3.4,2.99,3.36,1427301,3.359999999999999,4.0673262568787285,4.065718308281661,0.0016079485970674767,0.04477375305912011
FBIO,2020-10-09,4.4888,4.58,4.18,4.24,531949,4.24,4.195931030856679,4.1221757729441935,0.07375525791248537,0.05556520417463326
FBIO,2020-10-08,4.46,4.7,4.45,4.66,875081,4.66,4.187918491012439,4.112749834779729,0.07516865623270963,0.05101769074017022
FBIO,2020-10-07,4.19,4.24,4.14,4.22,69419,4.219999999999999,4.102085489378337,4.068969821562107,0.03311566781622943,0.044979949367035144
FBIO,2020-10-06,4.22,4.34,4.12,4.17,243806,4.169999999999999,4.080646487447125,4.056887407287076,0.02375908016004935,0.04794601975473657
FBIO,2020-10-05,4.02,4.07,3.9907,4.0211,212866,4.021099999999999,4.064400394255694,4.0478383998700425,0.016561994385651424,0.053992754653408366
FBIO,2020-10-02,3.9,4.13,3.85,4.06,231603,4.06,4.072273193211275,4.049977471859645,0.022295721351628828,0.06335044472034759
FBIO,2020-10-01,4.05,4.08,3.967,4.03,101910,4.03,4.074504682886052,4.049175669608418,0.02532901327763426,0.07361412556252706
FBIO,2020-09-30,3.95,4.02,3.91,4.0195,62394,4.0195,4.082596443410787,4.05070972317709,0.031886720233696764,0.08568540363375025
FBIO,2020-09-29,3.95,3.95,3.82,3.88,105952,3.88,4.094068524030931,4.053206501031258,0.04086202299967212,0.09913507448376362
FBIO,2020-09-28,4.1,4.1,3.87,3.8895,296306,3.8895,4.132990073854735,4.067063021113758,0.06592705274097721,0.11370333735478627
FBIO,2020-09-25,3.8339999999999996,3.92,3.8117,3.9,114889,3.9,4.177260996373779,4.081268062802859,0.09599293357091998,0.12564740850823852
FBIO,2020-09-24,4.0,4.0,3.7,3.87,337573,3.870000000000001,4.227672086623556,4.095769507827087,0.1319025787964696,0.13306102724256816
FBIO,2020-09-23,4.42,4.45,4.28,4.2924,127081,4.2924,4.292703375100567,4.113831068453254,0.17887230664731302,0.1333506393540928
FBIO,2020-09-22,4.72,4.74,4.43,4.48,247567,4.480000000000001,4.292758534209761,4.099545553929515,0.19321298028024625,0.12197022253078776
FBIO,2020-09-21,4.75,4.75,4.59,4.7364,322218,4.7364,4.258714631338808,4.0691091982438765,0.1896054330949326,0.10415953309342313
FBIO,2020-09-18,4.49,4.575,4.4601,4.54,187498,4.539999999999999,4.171862746127681,4.0157259341033855,0.15613681202429674,0.08279805809304597
FBIO,2020-09-17,4.32,4.435,4.23,4.425,157128,4.425,4.104928699969079,3.973784008831657,0.13114469113742278,0.0644633696102335
FBIO,2020-09-16,4.26,4.42,4.26,4.3909,171212,4.390899999999999,4.046733918145275,3.9376867295381888,0.10904718860708627,0.04779303922843628
FBIO,2020-09-15,4.38,4.4,4.12,4.22,314569,4.219999999999999,3.9841582668989615,3.9014296679012435,0.08272859899771756,0.03247950188377378
FBIO,2020-09-14,4.18,4.26,4.0618,4.22,237752,4.219999999999998,3.941277951789681,3.875944041333344,0.06533391045633774,0.01991722760528772
FBIO,2020-09-11,4.13,4.36,4.13,4.24,589633,4.2399999999999975,3.890601215751442,3.8484195646400106,0.0421816511114308,0.008563056892525326
FBIO,2020-09-10,3.9,3.98,3.89,3.94,89600,3.9399999999999977,3.827074164069885,3.8170931298112114,0.009981034258673915,0.0001584083377988454
FBIO,2020-09-09,3.76,3.92,3.7575,3.89,131531,3.8899999999999983,3.806542193900774,3.8072605801961075,-0.0007183862953339393,-0.002297248142419811
FBIO,2020-09-08,3.66,3.77,3.6,3.7444,136791,3.7443999999999984,3.7913680473372784,3.8006414266117967,-0.009273379274518323,-0.00269196360419139
FBIO,2020-09-08,3.66,3.77,3.6,3.7444,136791,3.7443999999999984,3.7999076923076927,3.805140740740741,-0.005233048433047839,-0.0010466096866096565
FBIO,2020-09-04,3.92,3.9589999999999996,3.8,3.81,137080,3.8099999999999983,3.81,3.81,0.0,0.0
