Symbol,Date,Open,High,Low,Close,Volume,RIOT SMA,RIOT spanTwelveEMA,RIOT spanTwntySixEMA,RIOT_x,RIOT_y
RIOT,2020-11-03,3.35,3.45,3.2982,3.425,961527,3.425,3.5292985844692373,3.3866309992531645,0.1426675852160728,0.1904123134578547
RIOT,2020-11-02,3.26,3.39,3.19,3.31,768422,3.31,3.5482619634636436,3.3835614791934177,0.16470048427022646,0.20234849551830014
RIOT,2020-10-30,3.4804,3.54,3.32,3.415,1122461,3.415,3.5915823204570336,3.389446397528891,0.20213592292814253,0.21176049833031868
RIOT,2020-10-29,3.5,3.59,3.44,3.5863,710849,3.5863,3.623688196903767,3.3874021093312026,0.2362860875725641,0.21416664218086268
RIOT,2020-10-28,3.71,3.83,3.5,3.5787,2487796,3.5786999999999987,3.6304860508862697,3.3714902780776987,0.258995772808571,0.20863678083293719
RIOT,2020-10-27,4.03,4.03,3.89,3.9283,883971,3.9283,3.6399016965019553,3.354913500323915,0.2849881961780403,0.19604703283902875
RIOT,2020-10-26,3.98,4.03,3.84,3.96,1549321,3.959999999999999,3.5874656413204926,3.3090425803498285,0.27842306097066416,0.17381174200427585
RIOT,2020-10-23,3.98,4.01,3.86,3.87,1049084,3.869999999999999,3.5197321215605823,3.2569659867778147,0.2627661347827677,0.14765891226267877
RIOT,2020-10-22,4.18,4.26,4.06,4.12,2200418,4.119999999999999,3.456047052753416,3.2079232657200403,0.2481237870333759,0.11888210663265654
RIOT,2020-10-21,3.93,4.06,3.8,4.02,4799367,4.019999999999999,3.3353283350722185,3.1349571269776426,0.20037120809457545,0.0865716865324767
RIOT,2020-10-20,3.45,3.72,3.41,3.6689,3341018,3.668899999999999,3.2108425778126217,3.0641536971358545,0.14668888067676722,0.05812180614195189
RIOT,2020-10-19,3.32,3.44,3.26,3.3653,1587757,3.365299999999998,3.1275594101421893,3.015773992906723,0.11178541723546642,0.03598003750824806
RIOT,2020-10-16,3.37,3.37,3.25,3.3167,660746,3.316699999999998,3.0843338483498597,2.9878119123392604,0.09652193601059976,0.017028692576443467
RIOT,2020-10-15,3.1758,3.2352,3.0757,3.195,517524,3.1949999999999985,3.0420854571407436,2.9615008653264017,0.08058459181434285,-0.0028446182820955034
RIOT,2020-10-14,3.33,3.49,3.32,3.48,761475,3.479999999999998,3.014282812984516,2.9428209345525134,0.07146187843200248,-0.023701920806204868
RIOT,2020-10-13,3.46,3.47,3.22,3.31,1469632,3.3099999999999987,2.9296069607998825,2.8998466093167146,0.02976035148316792,-0.0474928706157567
RIOT,2020-10-12,3.18,3.37,3.16,3.37,2352563,3.37,2.8604445900362245,2.8670343380620515,-0.0065897480258270144,-0.06680617614048785
RIOT,2020-10-09,3.15,3.15,3.03,3.0660000000000003,1390311,3.0660000000000003,2.767798151860993,2.826797085107016,-0.058998933246022574,-0.08186028316915306
RIOT,2020-10-08,2.77,2.83,2.725,2.75,973266,2.75,2.7135796340175373,2.807660851915577,-0.09408121789803923,-0.08757562064993557
RIOT,2020-10-07,2.57,2.63,2.5473,2.59,322261,2.59,2.706957749293453,2.8122737200688226,-0.10531597077536947,-0.08594922133790954
RIOT,2020-10-06,2.66,2.67,2.6,2.6454,221653,2.6454000000000004,2.728222794619535,2.8300556176743283,-0.10183282305479313,-0.08110753397854456
RIOT,2020-10-05,2.63,2.65,2.57,2.6172,281007,2.617200000000001,2.74328148455036,2.844828067088274,-0.10154658253791472,-0.07592621170948242
RIOT,2020-10-02,2.53,2.61,2.5,2.585,646365,2.5850000000000013,2.766205390832244,2.8630383124553367,-0.09683292162309297,-0.06952111900237445
RIOT,2020-10-01,2.71,2.74,2.6819,2.72,253742,2.720000000000001,2.799151825529015,2.885281377451764,-0.08612955192274853,-0.06269316834719493
RIOT,2020-09-30,2.73,2.7567,2.675,2.74,166000,2.740000000000001,2.81354306653429,2.8985038876479043,-0.08496082111361414,-0.05683407245330643
RIOT,2020-09-29,2.7,2.7319,2.66,2.72,249781,2.720000000000001,2.8269145331768883,2.9111841986597367,-0.08426966548284831,-0.0498023852882295
RIOT,2020-09-28,2.79,2.79,2.71,2.75,519037,2.7500000000000013,2.846353539209049,2.9264789345525157,-0.08012539534346574,-0.0411855652395748
RIOT,2020-09-25,2.66,2.6943,2.6,2.6602,374956,2.660200000000001,2.863872364519786,2.9405972493167165,-0.0767248847969304,-0.03145060771360184
RIOT,2020-09-24,2.55,2.55,2.35,2.4911,1017662,2.4911000000000008,2.900903703523384,2.963029029262054,-0.06212532573867025,-0.0201320384427697
RIOT,2020-09-23,2.9,2.92,2.85,2.8699,333346,2.869900000000001,2.9754134678003625,3.000783351603018,-0.02536988380265548,-0.009633716618794672
RIOT,2020-09-22,2.95,2.96,2.835,2.915,577004,2.9150000000000005,2.9945977346731563,3.0112540197312594,-0.01665628505810357,-0.0056996748228294696
RIOT,2020-09-21,2.85,3.03,2.85,2.9401,629590,2.9401,3.0090700500682748,3.0189543413097595,-0.009884291241484709,-0.0029605222640110545
RIOT,2020-09-18,3.03,3.06,2.97,3.0135,320503,3.0135,3.0216100591715978,3.0252626886145406,-0.0036526294429428674,-0.00122958001964264
RIOT,2020-09-17,2.92,3.02,2.9,2.99,564543,2.99,3.023084615384616,3.026203703703704,-0.003119088319088359,-0.000623817663817583
RIOT,2020-09-16,3.02,3.03,2.96,3.0291,563216,3.0291,3.0291,3.0291,0.0,0.0
