Symbol,Date,Open,High,Low,Close,Volume,SFET SMA,SFET spanTwelveEMA,SFET spanTwntySixEMA,SFET_x,SFET_y
SFET,2020-12-11,1.2,1.26,1.19,1.2195,106668,1.2195,1.172278851212844,1.108165306116719,0.06411354509612499,0.044278628820345105
SFET,2020-12-10,1.26,1.26,1.18,1.23,237597,1.23,1.1636931877969974,1.0992585306060565,0.06443465719094088,0.039319899751400135
SFET,2020-12-09,1.3,1.32,1.26,1.2987,211736,1.2986999999999995,1.1516374037600878,1.088799213054541,0.06283819070554686,0.03304121039151495
SFET,2020-12-08,1.35,1.35,1.3,1.32,315418,1.3199999999999996,1.1248987498982856,1.072007150098904,0.05289159979938152,0.02559196531300697
SFET,2020-12-07,1.3981,1.45,1.3358,1.36,1532924,1.3599999999999997,1.0894257953343376,1.0521677221068164,0.03725807322752117,0.018767056691413278
SFET,2020-12-04,1.03,1.0494,1.03,1.035,11194,1.0349999999999997,1.040230485395126,1.0275411398753618,0.012689345519764306,0.014144302557386305
SFET,2020-12-03,1.06,1.06,1.04,1.0455,13000,1.0455,1.0411814827396944,1.0269444310653908,0.01423705167430356,0.014508041816791804
SFET,2020-12-02,1.01,1.06,1.01,1.03,150540,1.0299999999999998,1.040396297783275,1.025459985550622,0.014936312232652902,0.014575789352413864
SFET,2020-12-01,1.04,1.065,1.03,1.06,91689,1.0599999999999998,1.0422865337438705,1.0250967843946721,0.01718974934919859,0.014485658632354046
SFET,2020-11-30,1.06,1.0632,0.9801,1.0197,233465,1.0196999999999998,1.0390659035154834,1.0223045271462456,0.0167613763692378,0.013809635953142965
SFET,2020-11-27,1.09,1.09,1.05,1.06,60621,1.0599999999999998,1.042586976881935,1.0225128893179454,0.02007408756398954,0.013071700849119253
SFET,2020-11-27,1.09,1.09,1.05,1.06,60621,1.06,1.0394209726786503,1.019513920463381,0.019907052215269342,0.011321104170401683
SFET,2020-11-25,1.2,1.2,1.06,1.075,651058,1.0749999999999995,1.035679331347496,1.0162750341004514,0.01940429724704451,0.009174617159184767
SFET,2020-11-24,1.09,1.11,1.06,1.0884,110319,1.0883999999999998,1.0285301188652225,1.0115770368284875,0.016953082036734957,0.006617197137219831
SFET,2020-11-23,1.06,1.08,1.04,1.0501,35600,1.0500999999999996,1.0176446859316266,1.0054311997747665,0.012213486156860132,0.00403322591234105
SFET,2020-11-20,1.08,1.1,1.062,1.07,18304,1.0699999999999998,1.0117437197373769,1.0018576957567478,0.0098860239806291,0.0019881608512112786
SFET,2020-11-19,1.07,1.07,1.04,1.05,28716,1.05,1.0011516687805362,0.9964063114172876,0.004745357363248548,1.3695068856823438e-05
SFET,2020-11-18,1.02,1.02,0.9905,1.0087,26614,1.0087,0.9922701540133608,0.9921188163306708,0.00015133768269026682,-0.0011692205047411077
SFET,2020-11-17,1.0,1.0094,0.99,0.9949,21128,0.9949,0.9892829092885176,0.9907923216371244,-0.0015094123486067976,-0.0014993600515988959
SFET,2020-11-16,0.9946,1.02,0.9902,0.9902,35666,0.9902,0.988261620068248,0.9904637073680942,-0.002202087299846278,-0.0014968469773469204
SFET,2020-11-13,0.99,1.0,0.98,0.9867,12478,0.9867,0.9879091873533841,0.9904848039575416,-0.0025756166041577266,-0.0013205368967221087
SFET,2020-11-12,0.98,1.0,0.9797,0.9837,7910,0.9837,0.9881290395994538,0.9907875882741449,-0.0026585486746912856,-0.0010067669698632597
SFET,2020-11-11,0.9851,1.0,0.97,0.97,5221,0.97,0.9889343195266272,0.9913545953360768,-0.0024202758094495898,-0.000593821543656281
SFET,2020-11-10,1.0,1.02,0.9841,0.9851,22882,0.9851,0.992376923076923,0.9930629629629628,-0.0006860398860398798,-0.00013720797720795375
SFET,2020-11-09,1.08,1.08,0.9701,0.9937,85943,0.9937,0.9937,0.9937,0.0,0.0
