Symbol,Date,Open,High,Low,Close,Volume,NGD SMA,NGD spanTwelveEMA,NGD spanTwntySixEMA,NGD_x,NGD_y
NGD,2021-03-01,1.66,1.68,1.61,1.63,1406721,1.63,1.6661091258879277,1.7455873536801645,-0.0794782277922365,-0.07465644786200168
NGD,2021-02-26,1.61,1.62,1.55,1.55,1307139,1.55,1.6726744215039149,1.754834341974577,-0.0821599204706626,-0.07345100287944291
NGD,2021-02-25,1.67,1.74,1.66,1.7,566279,1.7,1.6949788617773536,1.7712210893325433,-0.0762422275551897,-0.07127377348163808
NGD,2021-02-24,1.68,1.69,1.62,1.6381,837215,1.6381,1.6940659275550545,1.7769187764791468,-0.0828528489240925,-0.07003165996325016
NGD,2021-02-23,1.72,1.72,1.58,1.64,2165365,1.64,1.7042415507468824,1.7880242785974785,-0.083782727850596,-0.06682636272303963
NGD,2021-02-22,1.56,1.62,1.54,1.6094,1466085,1.6094,1.715921832700861,1.7998662208852767,-0.0839443881844157,-0.06258727144115052
NGD,2021-02-19,1.62,1.62,1.55,1.585,784206,1.585,1.735289438646472,1.8151035185560984,-0.0798140799096265,-0.05724799225533421
NGD,2021-02-18,1.63,1.66,1.61,1.63,1172389,1.63,1.7626147911276489,1.8335118000405863,-0.0708970089129377,-0.05160647034176113
NGD,2021-02-17,1.7,1.7,1.63,1.675,2568131,1.675,1.786726571332676,1.849792744043833,-0.0630661727111572,-0.04678383569896704
NGD,2021-02-16,1.74,1.74,1.705,1.72,1504290,1.72,1.8070404933931628,1.86377616356734,-0.0567356701741772,-0.04271325144591955
NGD,2021-02-16,1.74,1.74,1.705,1.72,1504290,1.72,1.822866037646465,1.875278256652727,-0.0524122190062621,-0.03920764676385513
NGD,2021-02-12,1.74,1.76,1.72,1.7481,616212,1.7481,1.8415689535821855,1.8877005171849448,-0.0461315636027594,-0.03590650370325338
NGD,2021-02-11,1.82,1.84,1.7901,1.8213,713933,1.8213,1.8585633087789468,1.898868558559741,-0.040305249780794,-0.0333502387283769
NGD,2021-02-10,1.83,1.85,1.8081,1.815,934379,1.815,1.8653384558296644,1.9050740432445203,-0.0397355874148559,-0.0316114859652726
NGD,2021-02-09,1.89,1.9,1.835,1.8513,813424,1.8513,1.874490902344149,1.912279966704082,-0.037789064359933,-0.02958046060287676
NGD,2021-02-08,1.9,1.9,1.86,1.89,1014446,1.89,1.878707430043085,1.9171583640404084,-0.0384509339973233,-0.027528309663612693
NGD,2021-02-05,1.79,1.8,1.75,1.77,2374632,1.77,1.876654235505464,1.919331033163641,-0.042676797658177,-0.024797653580185028
NGD,2021-02-04,1.82,1.83,1.69,1.7293,4047201,1.7293,1.896045914688276,1.9312775158167323,-0.0352316011284565,-0.02032786756068703
NGD,2021-02-03,1.89,1.92,1.83,1.855,2038136,1.855,1.926363353722508,1.9474357170820709,-0.021072363359563,-0.016601934168744698
NGD,2021-02-02,1.98,2.0,1.91,1.94,2475378,1.94,1.939338508944782,1.9548305744486365,-0.0154920655038544,-0.015484326871040158
NGD,2021-02-01,2.05,2.08,1.935,1.935,2528083,1.935,1.9392182378438336,1.9560170204045275,-0.0167987825606938,-0.015482392212836597
NGD,2021-01-29,1.99,2.02,1.92,1.995,2263241,1.995,1.939985190179076,1.9576983820368896,-0.0177131918578137,-0.015153294625872274
NGD,2021-01-28,1.89,1.96,1.88,1.94,1650511,1.94,1.929982497484363,1.954714252599841,-0.0247317551154782,-0.014513320317886911
NGD,2021-01-27,1.87,1.87,1.78,1.805,1545968,1.805,1.9281611333906103,1.9558913928078283,-0.0277302594172177,-0.011958711618489087
NGD,2021-01-26,1.9,1.93,1.88,1.93,532746,1.93,1.950554066734358,1.9679627042324543,-0.0174086374980966,-0.008015824668806869
NGD,2021-01-25,1.93,1.95,1.88,1.89,903614,1.89,1.9542911697769685,1.970999720571051,-0.0167085507940825,-0.0056676214614844855
NGD,2021-01-22,1.9,1.91,1.855,1.8813,1309636,1.8813,1.965980473372781,1.977479698216735,-0.011499224843954,-0.0029073891283349787
NGD,2021-01-21,2.01,2.02,1.93,1.9411,938403,1.9411,1.981376923076923,1.985174074074074,-0.003797150997151,-0.0007594301994302111
NGD,2021-01-20,1.96,2.03,1.94,1.9887,1800900,1.9887,1.9887,1.9887,0.0,0.0
