Symbol,Date,Open,High,Low,Close,Volume,QTNT SMA,QTNT spanTwelveEMA,QTNT spanTwntySixEMA,QTNT_x,QTNT_y
QTNT,2021-03-11,3.98,4.04,3.97,3.97,20461,3.97,4.402929676383125,4.720620823570743,-0.3176911471876176,-0.24830147626218046
QTNT,2021-03-10,4.3,4.35,4.3,4.3426,3702,4.3426,4.481644162998238,4.780670489456402,-0.299026326458164,-0.23095405853082093
QTNT,2021-03-09,4.17,4.19,4.1,4.1,5279,4.1,4.506924919907009,4.815716128612915,-0.3087912087059061,-0.21393599154898513
QTNT,2021-03-08,3.89,3.96,3.89,3.96,48362,3.96,4.580911268981011,4.872973418901948,-0.2920621499209366,-0.19022218725975487
QTNT,2021-03-05,4.0,4.11,4.0,4.11,19499,4.11,4.693804226977559,4.946011292414104,-0.2522070654365453,-0.16476219659445943
QTNT,2021-03-04,4.51,4.51,4.51,4.51,2669,4.51,4.799950450064388,5.0128921958072326,-0.212941745742845,-0.14290097938393792
QTNT,2021-03-03,4.55,4.55,4.465,4.5002,4411,4.5002,4.852668713712458,5.053123571471812,-0.2004548577593539,-0.12539078779421134
QTNT,2021-03-02,4.62,4.62,4.61,4.61,4880,4.61,4.916753934387449,5.097357457189557,-0.1806035228021079,-0.10662477030292547
QTNT,2021-03-01,4.59,4.59,4.54,4.572,7123,4.572,4.972527377003349,5.136346053764722,-0.1638186767613731,-0.08813008217812984
QTNT,2021-02-26,4.65,4.65,4.53,4.5301,32275,4.5301,5.045350536458503,5.1814937380659,-0.1361432016073962,-0.06920793353231901
QTNT,2021-02-25,4.7,4.7,4.69,4.7,9114,4.7,5.139032452178231,5.233605237111171,-0.0945727849329403,-0.0524741165135497
QTNT,2021-02-24,4.94,5.1,4.94,4.96,11577,4.96,5.2188565343924544,5.276293656080065,-0.0574371216876103,-0.041949449408702044
QTNT,2021-02-23,5.15,5.26,5.07,5.13,16016,5.13,5.265921358827446,5.30159714856647,-0.0356757897390247,-0.03807753133897496
QTNT,2021-02-22,5.46,5.46,5.32,5.32,5730,5.32,5.290634333159708,5.315324920451788,-0.0246905872920804,-0.03867796673896251
QTNT,2021-02-19,5.23,5.25,5.22,5.22,10326,5.22,5.285295121006927,5.314950914087931,-0.0296557930810044,-0.04217481160068303
QTNT,2021-02-18,5.35,5.36,5.3208,5.3208,5705,5.3208,5.297166961190005,5.322546987214966,-0.025380026024961,-0.04530456623060269
QTNT,2021-02-17,5.37,5.39,5.35,5.375,39702,5.375,5.292870045042733,5.322686746192163,-0.0298167011494303,-0.0502857012820131
QTNT,2021-02-16,5.35,5.45,5.35,5.45,17415,5.45,5.277937325959594,5.3185016858875365,-0.0405643599279423,-0.05540295131515878
QTNT,2021-02-16,5.35,5.45,5.35,5.45,17415,5.45,5.246653203406793,5.307981820758539,-0.0613286173517462,-0.05911259916196287
QTNT,2021-02-12,5.13,5.13,5.05,5.05,5679,5.05,5.209681058571665,5.296620366419223,-0.0869393078475582,-0.058558594614517026
QTNT,2021-02-11,5.08,5.095,5.08,5.095,2105,5.095,5.238713978311967,5.316349995732761,-0.0776360174207937,-0.051463416306256726
QTNT,2021-02-10,5.11,5.11,5.11,5.11,5605,5.11,5.264843792550507,5.334057995391382,-0.0692142028408753,-0.044920266027622474
QTNT,2021-02-09,5.16,5.22,5.14,5.22,26829,5.22,5.292997209377872,5.351982635022693,-0.0589854256448205,-0.03884678182430926
QTNT,2021-02-08,5.22,5.25,5.22,5.25,17443,5.25,5.306269429264757,5.362541245824508,-0.0562718165597502,-0.03381212086918142
QTNT,2021-02-05,5.36,5.37,5.33,5.3328,16921,5.3328,5.316500234585623,5.371544545490468,-0.0550443109048455,-0.028197196946539216
QTNT,2021-02-04,5.15,5.1909,5.14,5.14,14839,5.14,5.313536640873918,5.374644109129706,-0.0611074682557877,-0.021485418456962863
QTNT,2021-02-03,4.98,5.04,4.95,4.95,12202,4.95,5.345088757396449,5.393415637860082,-0.0483268804636329,-0.011579906007256648
QTNT,2021-02-02,5.18,5.4,5.18,5.29,73128,5.29,5.4169230769230765,5.428888888888889,-0.0119658119658128,-0.0023931623931625623
QTNT,2021-02-01,5.0,5.46,4.86,5.44,60389,5.44,5.44,5.44,0.0,0.0
