Symbol,Date,Open,High,Low,Close,Volume,GALT SMA,GALT spanTwelveEMA,GALT spanTwntySixEMA,GALT_x,GALT_y
GALT,2021-07-13,3.19,3.21,3.15,3.2066,18708,3.2066,3.286859596940558,3.416541887616826,-0.1296822906762678,-0.1575098125101926
GALT,2021-07-12,3.32,3.34,3.27,3.27,136454,3.27,3.3014522509297506,3.433337238626172,-0.1318849876964214,-0.1644666929686738
GALT,2021-07-09,3.96,4.04,3.85,3.94,1147775,3.94,3.307170842007887,3.4464042177162657,-0.1392333757083785,-0.1726121192867369
GALT,2021-07-08,2.8,2.84,2.7915,2.84,9420,2.84,3.1921109951002307,3.406916555133567,-0.2148055600333362,-0.18095680518132645
GALT,2021-07-07,2.9,2.9,2.86,2.86,4729,2.86,3.2561311760275453,3.452269879544252,-0.1961387035167066,-0.172494616468324
GALT,2021-07-06,3.17,3.17,3.17,3.17,917,3.17,3.328155026214372,3.499651469907792,-0.1714964436934201,-0.16658359470622836
GALT,2021-07-06,3.17,3.17,3.17,3.17,917,3.17,3.356910485526076,3.526023587500416,-0.1691131019743394,-0.16535538245943052
GALT,2021-07-02,3.27,3.36,3.27,3.3,1343,3.3,3.390894210167181,3.5545054745004485,-0.1636112643332676,-0.16441595258070316
GALT,2021-07-01,3.21,3.2117,3.21,3.2117,5835,3.2117,3.407420430197577,3.5748659124604845,-0.1674454822629072,-0.164617124642562
GALT,2021-06-30,3.51,3.51,3.4,3.4,8358,3.4,3.443005962960773,3.603919185457324,-0.1609132224965503,-0.16391003523747558
GALT,2021-06-29,3.53,3.53,3.46,3.461,11808,3.461,3.450825228953641,3.620232720293909,-0.1694074913402681,-0.16465923842270677
GALT,2021-06-28,3.45,3.46,3.45,3.46,3892,3.46,3.448975270581576,3.632971337917422,-0.1839960673358462,-0.16347217519331644
GALT,2021-06-25,3.37,3.37,3.37,3.37,3502,3.37,3.44697077432368,3.646809044950816,-0.1998382706271355,-0.1583412021576841
GALT,2021-06-24,3.27,3.285,3.27,3.285,3238,3.285,3.460965460564349,3.668953768546882,-0.2079883079825322,-0.1479669350403211
GALT,2021-06-23,3.28,3.28,3.271,3.278,2313,3.278,3.4929591806669578,3.699670070030632,-0.2067108893636744,-0.1329615918047682
GALT,2021-06-22,3.13,3.145,3.13,3.145,3657,3.145,3.5320426680609502,3.733403675633083,-0.2013610075721326,-0.1145242674150416
GALT,2021-06-21,3.14,3.14,3.0616,3.102,12803,3.102,3.6024140622538505,3.78047596968373,-0.1780619074298792,-0.09281508237576884
GALT,2021-06-18,3.3,3.3,3.3,3.3,39000,3.3,3.693398437209096,3.834754047258429,-0.1413556100493322,-0.07150337611224122
GALT,2021-06-17,3.47,3.47,3.47,3.47,2390,3.47,3.764925425792568,3.877534371039103,-0.1126089452465346,-0.054040317627968334
GALT,2021-06-16,3.46,3.48,3.45,3.45,9411,3.45,3.818548230482127,3.910137120722231,-0.0915888902401045,-0.03939816072332676
GALT,2021-06-15,3.63,3.67,3.63,3.67,10470,3.67,3.8855569996606953,3.9469480903800096,-0.0613910907193142,-0.026350478344132428
GALT,2021-06-14,3.7,3.745,3.7,3.745,4276,3.745,3.924749181417185,3.96910393761041,-0.0443547561932251,-0.01759032525033697
GALT,2021-06-11,3.79,3.82,3.79,3.8,2738,3.8,3.957430850765764,3.987032252619243,-0.0296014018534789,-0.010899217514615032
GALT,2021-06-10,3.88,3.88,3.88,3.88,1730,3.88,3.9860546418140848,4.001994832828783,-0.0159401910146979,-0.006223671429899057
GALT,2021-06-09,4.05,4.05,4.0058,4.0388,6608,4.0388,4.0053373039621,4.011754419455085,-0.0064171154929848,-0.003794541533699346
GALT,2021-06-08,3.97,3.98,3.9597,3.98,4526,3.98,3.9992531774097535,4.009590773011492,-0.010337595601737,-0.00313889804387797
GALT,2021-06-07,3.88,3.89,3.88,3.89,1266,3.89,4.002753755120619,4.011958034852411,-0.0092042797317919,-0.0013392236544127484
GALT,2021-06-04,4.02,4.02,4.02,4.02,2275,4.02,4.023254437869822,4.021714677640603,0.0015397602292184,0.00062704036493205
GALT,2021-06-03,4.0,4.045,4.0,4.045,4146,4.045,4.023846153846153,4.021851851851851,0.0019943019943022,0.00039886039886045667
GALT,2021-06-02,4.02,4.02,4.02,4.02,3209,4.02,4.02,4.02,0.0,0.0
